node_id,name,entity_type,course,topic,definition,alias,difficulty,importance,source,source_section,book_page,evidence_text
OS_CRS_001,操作系统,Course,操作系统,,研究操作系统如何管理处理机、内存、文件和I/O设备等计算机资源，并为应用程序与用户提供接口和运行环境的核心课程。,"OS,Operating System",4,5,王道2027操作系统，内容简介，教材p2,内容简介,2,教材内容简介说明本书内容包括计算机系统概述、进程与线程、内存管理、文件管理、输入/输出管理等。
OS_TOP_001,第1章 计算机系统概述,Topic,操作系统,第1章 计算机系统概述,建立操作系统整体概念、发展历程、运行环境、结构、引导与虚拟机等基础框架。,,3,5,王道2027操作系统，第1章 计算机系统概述，教材p1,第1章 计算机系统概述,1,教材在“第1章 计算机系统概述”中出现或讲解“第1章 计算机系统概述”；本节点概括为：建立操作系统整体概念、发展历程、运行环境、结构、引导与虚拟机等基础框架。
OS_TOP_002,第2章 进程与线程,Topic,操作系统,第2章 进程与线程,研究进程、线程、CPU调度、同步互斥和死锁等处理机管理核心内容。,,3,5,王道2027操作系统，第2章 进程与线程，教材p37,第2章 进程与线程,37,教材在“第2章 进程与线程”中出现或讲解“第2章 进程与线程”；本节点概括为：研究进程、线程、CPU调度、同步互斥和死锁等处理机管理核心内容。
OS_TOP_003,第3章 内存管理,Topic,操作系统,第3章 内存管理,研究内存分配、地址转换、分页分段和虚拟内存等存储器管理机制。,,3,5,王道2027操作系统，第3章 内存管理，教材p176,第3章 内存管理,176,教材在“第3章 内存管理”中出现或讲解“第3章 内存管理”；本节点概括为：研究内存分配、地址转换、分页分段和虚拟内存等存储器管理机制。
OS_TOP_004,第4章 文件管理,Topic,操作系统,第4章 文件管理,研究文件、目录、文件物理结构、文件系统和外存空间管理。,,3,5,王道2027操作系统，第4章 文件管理，教材p251,第4章 文件管理,251,教材在“第4章 文件管理”中出现或讲解“第4章 文件管理”；本节点概括为：研究文件、目录、文件物理结构、文件系统和外存空间管理。
OS_TOP_005,第5章 输入/输出管理,Topic,操作系统,第5章 输入/输出管理,研究I/O设备、I/O控制方式、设备独立性、缓冲、SPOOLing和磁盘调度。,,3,5,王道2027操作系统，第5章 输入/输出管理，教材p305,第5章 输入/输出管理,305,教材在“第5章 输入/输出管理”中出现或讲解“第5章 输入/输出管理”；本节点概括为：研究I/O设备、I/O控制方式、设备独立性、缓冲、SPOOLing和磁盘调度。
OS_TOP_006,1.1 操作系统的基本概念,Topic,操作系统,第1章 计算机系统概述,讲解操作系统的定义、功能目标和并发、共享、虚拟、异步等基本特征。,,3,4,王道2027操作系统，1.1 操作系统的基本概念，教材p1,1.1 操作系统的基本概念,1,教材在“1.1 操作系统的基本概念”中出现或讲解“1.1 操作系统的基本概念”；本节点概括为：讲解操作系统的定义、功能目标和并发、共享、虚拟、异步等基本特征。
OS_TOP_007,1.2 操作系统发展历程,Topic,操作系统,第1章 计算机系统概述,梳理手工操作、批处理、分时、实时、网络、分布式和微机操作系统的发展。,,3,4,王道2027操作系统，1.2 操作系统发展历程，教材p7,1.2 操作系统发展历程,7,教材在“1.2 操作系统发展历程”中出现或讲解“1.2 操作系统发展历程”；本节点概括为：梳理手工操作、批处理、分时、实时、网络、分布式和微机操作系统的发展。
OS_TOP_008,1.3 操作系统的运行环境,Topic,操作系统,第1章 计算机系统概述,讲解内核、处理机工作模式、中断异常和系统调用。,,3,4,王道2027操作系统，1.3 操作系统的运行环境，教材p15,1.3 操作系统的运行环境,15,教材在“1.3 操作系统的运行环境”中出现或讲解“1.3 操作系统的运行环境”；本节点概括为：讲解内核、处理机工作模式、中断异常和系统调用。
OS_TOP_009,1.4 操作系统结构,Topic,操作系统,第1章 计算机系统概述,比较分层、模块化、宏内核、微内核和外核等系统结构。,,3,4,王道2027操作系统，1.4 操作系统结构，教材p26,1.4 操作系统结构,26,教材在“1.4 操作系统结构”中出现或讲解“1.4 操作系统结构”；本节点概括为：比较分层、模块化、宏内核、微内核和外核等系统结构。
OS_TOP_010,1.5 操作系统引导,Topic,操作系统,第1章 计算机系统概述,讲解计算机开机后装入并启动操作系统的过程。,,3,4,王道2027操作系统，1.5 操作系统引导，教材p29,1.5 操作系统引导,29,教材在“1.5 操作系统引导”中出现或讲解“1.5 操作系统引导”；本节点概括为：讲解计算机开机后装入并启动操作系统的过程。
OS_TOP_011,1.6 虚拟机,Topic,操作系统,第1章 计算机系统概述,讲解虚拟机和虚拟机管理程序的基本概念。,,3,4,王道2027操作系统，1.6 虚拟机，教材p30,1.6 虚拟机,30,教材在“1.6 虚拟机”中出现或讲解“1.6 虚拟机”；本节点概括为：讲解虚拟机和虚拟机管理程序的基本概念。
