id,course_id,course_name,source_id,label,entity_type,emmx_type,summary_block_id,parent_id,depth,path,layout,image_ids
C10:SI:5693,C10,计算机网络,5693,数字信号,summary_item,SubTopic,C10:SUM:5692,C10:SUM:5692,,,"{""x"":1495.99,""y"":22014.6,""width"":71.3333,""height"":23.5}",[]
C10:SI:5695,C10,计算机网络,5695,编码,summary_item,SubTopic,C10:SUM:5692,C10:SUM:5692,,,"{""x"":1482.65,""y"":22044.6,""width"":44.6667,""height"":23.5}",[]
C10:SI:5699,C10,计算机网络,5699,模拟信号,summary_item,SubTopic,C10:SUM:5698,C10:SUM:5698,,,"{""x"":1919.85,""y"":22207.1,""width"":71.3333,""height"":23.5}",[]
C10:SI:5701,C10,计算机网络,5701,调制,summary_item,SubTopic,C10:SUM:5698,C10:SUM:5698,,,"{""x"":1906.52,""y"":22237.1,""width"":44.6667,""height"":23.5}",[]
C11:SI:1408,C11,编译原理,1408,语法定义了程序的形式结构,summary_item,SubTopic,C11:SUM:8137,C11:SUM:8137,,,"{""x"":4113.27,""y"":7409.3,""width"":178.0,""height"":23.5}",[]
C11:SI:1412,C11,编译原理,1412,语义定义了语法单位的意义,summary_item,SubTopic,C11:SUM:8137,C11:SUM:8137,,,"{""x"":4113.27,""y"":7439.3,""width"":178.0,""height"":23.5}",[]
C11:SI:1616,C11,编译原理,1616,标识符是语法概念,summary_item,SubTopic,C11:SUM:8144,C11:SUM:8144,,,"{""x"":4373.97,""y"":8360.39,""width"":124.667,""height"":23.5}",[]
C11:SI:1618,C11,编译原理,1618,名字有确切的意义和属性,summary_item,SubTopic,C11:SUM:8144,C11:SUM:8144,,,"{""x"":4393.97,""y"":8390.39,""width"":164.667,""height"":23.5}",[]
C11:SI:2516,C11,编译原理,2516,给出程序设计语言的单词规范——单词表,summary_item,SubTopic,C11:SUM:2515,C11:SUM:2515,,,"{""x"":4609.63,""y"":14452.4,""width"":260.667,""height"":23.5}",[]
C11:SI:2518,C11,编译原理,2518,对照单词表设计识别该语言所有单词的状态转换图,summary_item,SubTopic,C11:SUM:2515,C11:SUM:2515,,,"{""x"":4634.96,""y"":14482.4,""width"":311.333,""height"":23.5}",[]
C11:SI:2520,C11,编译原理,2520,根据状态转换图编写词法分析程序,summary_item,SubTopic,C11:SUM:2515,C11:SUM:2515,,,"{""x"":4588.3,""y"":14512.4,""width"":218.0,""height"":23.5}",[]
C12:SI:1066,C12,数据库,1066,事件-条件-动作模型,summary_item,SubTopic,C12:SUM:1065,C12:SUM:1065,,,"{""x"":4562.62,""y"":10474.6,""width"":147.6,""height"":20.7}",[]
C12:SI:3820,C12,数据库,3820,"2NF属于1NF,且每一个非主属性完全函数依赖与任何一个候选码",summary_item,SubTopic,C12:SUM:3797,C12:SUM:3797,,,"{""x"":1552.58,""y"":2376.45,""width"":414.0,""height"":20.7}",[]
C12:SI:3822,C12,数据库,3822,3NF属于2NF，消除非主属性对码的传递函数依赖,summary_item,SubTopic,C12:SUM:3797,C12:SUM:3797,,,"{""x"":1599.38,""y"":2403.65,""width"":320.4,""height"":20.7}",[]
C12:SI:3824,C12,数据库,3824,BCNF是对3NF的修正，消除主属性之间的部分函数依赖和传递函数依赖,summary_item,SubTopic,C12:SUM:3797,C12:SUM:3797,,,"{""x"":1530.98,""y"":2430.85,""width"":457.2,""height"":20.7}",[]
C18:SI:381,C18,物联网技术,381,能够对感知信息进行分析处理和网络传输,summary_item,SubTopic,C18:SUM:2205,C18:SUM:2205,,,"{""x"":3282.05,""y"":2542.6,""width"":258.0,""height"":23.5}",[]
C21:SI:3483,C21,微机原理,3483,信息传送均需通过CPU,summary_item,SubTopic,C21:SUM:3482,C21:SUM:3482,,,"{""x"":1050.38,""y"":7869.33,""width"":154.8,""height"":20.7}",[]
C25:SI:563,C25,数字图像处理,563,傅里叶变换,summary_item,SubTopic,C25:SUM:562,C25:SUM:562,,,"{""x"":3792.62,""y"":7119.27,""width"":90.0,""height"":20.7}",[]
C25:SI:1590,C25,数字图像处理,1590,对RGB三个分量分别处理,summary_item,SubTopic,C25:SUM:1589,C25:SUM:1589,,,"{""x"":1898.18,""y"":3297.62,""width"":169.2,""height"":20.7}",[]
C25:SI:1592,C25,数字图像处理,1592,RGB→HSI，对HSI处理，再HSI→RGB,summary_item,SubTopic,C25:SUM:1589,C25:SUM:1589,,,"{""x"":1862.18,""y"":3324.82,""width"":241.2,""height"":20.7}",[]
