course_id,course_name,source_file,source_root_label,main_knowledge_nodes,hierarchy_relations,semantic_relations,floating_roots,floating_items,summary_blocks,summary_items,callouts,images,structural_anchors,potential_duplicate_groups,placeholders_removed,blank_structural_nodes_compressed
C01,高等数学,！！！最终emmx版本/周洋/高等数学.emmx,高等数学,544,543,42,1,0,2,0,52,0,0,0,0,0
C02,线性代数,！！！最终emmx版本/周洋/线性代数.emmx,线性代数,268,267,21,1,0,0,0,14,0,0,0,0,0
C03,概率论与数理统计,！！！最终emmx版本/周洋/概率论与数理统计.emmx,概率论与数理统计,304,303,13,0,0,0,0,12,0,0,0,0,0
C04,大学物理,！！！最终emmx版本/周洋/大学物理.emmx,大学物理学,231,230,0,0,0,0,0,0,0,0,0,0,0
C05,离散数学,！！！最终emmx版本/周洋/离散数学.emmx,离散数学,413,412,28,1,0,1,0,4,0,0,1,0,0
C06,高级语言程序设计（C语言）,！！！最终emmx版本/唐晓松/思维导图/高级语言程序设计（c语言）.emmx,高级语言程序设计（c语言）,513,512,10,0,0,0,0,0,0,0,0,0,0
C07,数据结构,！！！最终emmx版本/刘世杰/数据结构/数据结构.emmx,数据结构知识框架,619,618,22,2,0,0,0,0,4,2,0,0,0
C08,计算机组成原理,！！！最终emmx版本/唐晓松/思维导图/计算机组成原理.emmx,计算机组成原理,1102,1101,1,0,0,0,0,0,1,0,0,0,1
C09,操作系统,！！！最终emmx版本/陈昊楠/操作系统/操作系统.emmx,操作系统,457,456,33,8,10,2,0,0,3,0,0,0,3
C10,计算机网络,！！！最终emmx版本/范全会/计算机网络/细节与骨干-计算机网络.emmx,计网,1674,1673,28,1,1,3,4,2,98,0,2,0,126
C11,编译原理,！！！最终emmx版本/范全会/编译原理/细节和骨干-编译原理.emmx,编译原理,1746,1745,52,0,0,7,7,27,456,7,1,0,452
C12,数据库,！！！最终emmx版本/傅博/数据库.emmx,数据库,1172,1171,79,28,53,9,4,2,5,1,2,2,5
C13,分布式数据库,！！！最终emmx版本/唐晓松/思维导图/分布式数据库.emmx,分布式数据库,328,327,24,0,0,0,0,0,17,0,0,0,16
C14,软件工程,！！！最终emmx版本/唐晓松/思维导图/软件工程.emmx,软件工程,724,723,18,0,0,0,0,0,22,0,0,1,22
C15,数据挖掘,！！！最终emmx版本/唐晓松/思维导图/数据挖掘.emmx,数据挖掘,522,521,38,1,0,6,0,0,50,1,0,0,49
C16,人工智能,！！！最终emmx版本/范全会/人工智能/细节与骨干-人工智能.emmx,人工智能,1464,1463,11,4,0,0,0,19,231,0,0,0,128
C17,云计算,！！！最终emmx版本/刘世杰/云计算/云计算.emmx,云计算,535,534,17,6,0,0,0,0,5,2,0,0,2
C18,物联网技术,！！！最终emmx版本/范全会/物联网技术/细节与骨干-物联网技术.emmx,物联网技术,675,674,27,13,12,2,1,10,7,0,0,0,8
C19,嵌入式系统,！！！最终emmx版本/刘世杰/嵌入式系统/嵌入式系统.emmx,嵌入式系统（它的知识体系需要与我们之前学过的所有计算机基础课程为基础）,513,512,20,16,0,0,0,0,1,1,0,0,0
C20,网络与信息安全,！！！最终emmx版本/刘世杰/网络与信息安全/网络与信息安全.emmx,网络与信息安全,481,480,31,8,0,0,0,0,7,2,0,0,3
C21,微机原理,！！！最终emmx版本/傅博/微机原理.emmx,微机原理,1263,1262,46,18,11,11,1,4,11,2,2,1,11
C22,汇编语言,！！！最终emmx版本/陈昊楠/汇编语言/汇编语言.emmx,汇编语言汇编程序员通过改变各种寄存器中的值来实现对cpu的控制,409,408,18,6,2,6,0,0,1,0,0,0,1
C23,数字电子技术,！！！最终emmx版本/陈昊楠/数电/数字电子技术 (2).emmx,数字电子技术,480,479,39,20,25,0,0,0,8,0,0,0,8
C24,模拟电子技术,！！！最终emmx版本/陈昊楠/模电/模拟电子技术.emmx,模拟电子技术 主要介绍了半导体器件的基本原理，放大电路的构成、原理以及特性，信号的处理等内容,531,530,25,5,1,3,0,0,5,1,0,0,3
C25,数字图像处理,！！！最终emmx版本/傅博/数字图像处理.emmx,数字图像处理,777,776,42,13,25,13,3,0,73,7,0,0,70
C26,计算机图形学,！！！最终emmx版本/傅博/计算机图形学.emmx,计算机图形学研究计算机如何表示、生成、显示、处理图形,646,645,47,11,36,3,0,0,34,3,0,1,19
