id,course_id,course_name,source_id,text,target_source_id,target_ids,target_labels,target_resolution,target_details,image_ids
C01:CALL:1459,C01,高等数学,1459,可能存在无定义且趋于无限远的点，所以有局部二字,1458,"[""C01:K:201"",""C01:K:203"",""C01:K:1460""]","[""局部有界性"",""局部保号性"",""推论""]",boundary_members,"[{""source_id"":""201"",""entity_id"":""C01:K:201"",""label"":""局部有界性"",""resolution"":""direct""},{""source_id"":""203"",""entity_id"":""C01:K:203"",""label"":""局部保号性"",""resolution"":""direct""},{""source_id"":""1460"",""entity_id"":""C01:K:1460"",""label"":""推论"",""resolution"":""direct""}]",[]
C01:CALL:1480,C01,高等数学,1480,数列同理,1476,"[""C01:K:1476""]","[""四则运算""]",direct,"[{""source_id"":""1476"",""entity_id"":""C01:K:1476"",""label"":""四则运算"",""resolution"":""direct""}]",[]
C01:CALL:1486,C01,高等数学,1486,包含数列与函数,1485,"[""C01:K:217"",""C01:K:241""]","[""夹逼准则"",""单调有界准则""]",boundary_members,"[{""source_id"":""217"",""entity_id"":""C01:K:217"",""label"":""夹逼准则"",""resolution"":""direct""},{""source_id"":""241"",""entity_id"":""C01:K:241"",""label"":""单调有界准则"",""resolution"":""direct""}]",[]
C01:CALL:1491,C01,高等数学,1491,极限存在无定义,255,"[""C01:K:255""]","[""可去间断点""]",direct,"[{""source_id"":""255"",""entity_id"":""C01:K:255"",""label"":""可去间断点"",""resolution"":""direct""}]",[]
C01:CALL:1492,C01,高等数学,1492,左右极限存在不相等,257,"[""C01:K:257""]","[""跳跃间断点""]",direct,"[{""source_id"":""257"",""entity_id"":""C01:K:257"",""label"":""跳跃间断点"",""resolution"":""direct""}]",[]
C01:CALL:1495,C01,高等数学,1495,极限趋于无穷,260,"[""C01:K:260""]","[""无穷间断点""]",direct,"[{""source_id"":""260"",""entity_id"":""C01:K:260"",""label"":""无穷间断点"",""resolution"":""direct""}]",[]
C01:CALL:1496,C01,高等数学,1496,极限反复横跳,261,"[""C01:K:261""]","[""震荡间断点""]",direct,"[{""source_id"":""261"",""entity_id"":""C01:K:261"",""label"":""震荡间断点"",""resolution"":""direct""}]",[]
C01:CALL:1507,C01,高等数学,1507,定义域内连续,1439,"[""C01:K:1439""]","[""基本初等函数""]",direct,"[{""source_id"":""1439"",""entity_id"":""C01:K:1439"",""label"":""基本初等函数"",""resolution"":""direct""}]",[]
C01:CALL:1508,C01,高等数学,1508,定义区间内连续,1445,"[""C01:K:1445""]","[""初等函数""]",direct,"[{""source_id"":""1445"",""entity_id"":""C01:K:1445"",""label"":""初等函数"",""resolution"":""direct""}]",[]
C01:CALL:1552,C01,高等数学,1552,引入驻点,362,"[""C01:K:362""]","[""费马定理""]",direct,"[{""source_id"":""362"",""entity_id"":""C01:K:362"",""label"":""费马定理"",""resolution"":""direct""}]",[]
C01:CALL:1558,C01,高等数学,1558,求函数极限,382,"[""C01:K:382""]","[""洛必达法则""]",direct,"[{""source_id"":""382"",""entity_id"":""C01:K:382"",""label"":""洛必达法则"",""resolution"":""direct""}]",[]
C01:CALL:1563,C01,高等数学,1563,求比值极限,384,"[""C01:K:384""]","[""泰勒公式""]",direct,"[{""source_id"":""384"",""entity_id"":""C01:K:384"",""label"":""泰勒公式"",""resolution"":""direct""}]",[]
C01:CALL:1576,C01,高等数学,1576,一阶导数变号,426,"[""C01:K:426""]","[""极值第一充分条件""]",direct,"[{""source_id"":""426"",""entity_id"":""C01:K:426"",""label"":""极值第一充分条件"",""resolution"":""direct""}]",[]
C01:CALL:1577,C01,高等数学,1577,二阶导数符号,428,"[""C01:K:428""]","[""极值第二充分条件""]",direct,"[{""source_id"":""428"",""entity_id"":""C01:K:428"",""label"":""极值第二充分条件"",""resolution"":""direct""}]",[]
C01:CALL:1599,C01,高等数学,1599,连续函数必有原函数,450,"[""C01:K:450""]","[""原函数存在定理""]",direct,"[{""source_id"":""450"",""entity_id"":""C01:K:450"",""label"":""原函数存在定理"",""resolution"":""direct""}]",[]
C01:CALL:1619,C01,高等数学,1619,复合函数求导,1618,"[""C01:K:464"",""C01:K:466""]","[""第一类换元法"",""第二类换元法""]",boundary_members,"[{""source_id"":""464"",""entity_id"":""C01:K:464"",""label"":""第一类换元法"",""resolution"":""direct""},{""source_id"":""466"",""entity_id"":""C01:K:466"",""label"":""第二类换元法"",""resolution"":""direct""}]",[]
C01:CALL:1620,C01,高等数学,1620,导数乘法运算,458,"[""C01:K:458""]","[""分部积分法""]",direct,"[{""source_id"":""458"",""entity_id"":""C01:K:458"",""label"":""分部积分法"",""resolution"":""direct""}]",[]
C01:CALL:1627,C01,高等数学,1627,积分和的极限,472,"[""C01:K:472""]","[""定积分""]",direct,"[{""source_id"":""472"",""entity_id"":""C01:K:472"",""label"":""定积分"",""resolution"":""direct""}]",[]
