id,course_id,course_name,source_id,label,member_source_ids,member_entity_ids,member_labels
C01:B:1458,C01,高等数学,1458,分组 1458,"[""201"",""203"",""1460""]","[""C01:K:201"",""C01:K:203"",""C01:K:1460""]","[""局部有界性"",""局部保号性"",""推论""]"
C01:B:1485,C01,高等数学,1485,分组 1485,"[""217"",""241""]","[""C01:K:217"",""C01:K:241""]","[""夹逼准则"",""单调有界准则""]"
C01:B:1618,C01,高等数学,1618,分组 1618,"[""464"",""466""]","[""C01:K:464"",""C01:K:466""]","[""第一类换元法"",""第二类换元法""]"
C01:B:1653,C01,高等数学,1653,分组 1653,"[""495"",""497""]","[""C01:K:495"",""C01:K:497""]","[""无穷限反常积分"",""无界函数反常积分(瑕积分)""]"
C01:B:1848,C01,高等数学,1848,分组 1848,"[""1079"",""1080""]","[""C01:K:1079"",""C01:K:1080""]","[""直角坐标下"",""柱坐标下""]"
C01:B:1859,C01,高等数学,1859,分组 1859,"[""1096"",""1098"",""1100""]","[""C01:K:1096"",""C01:K:1098"",""C01:K:1100""]","[""曲面的面积"",""质心"",""转动惯量""]"
C01:B:1578,C01,高等数学,1578,分组 1578,"[""426"",""1576"",""428"",""1577""]","[""C01:K:426"",""C01:CALL:1576"",""C01:K:428"",""C01:CALL:1577""]","[""极值第一充分条件"",""极值第二充分条件""]"
C02:B:794,C02,线性代数,794,分组 794,"[""780"",""370"",""372"",""374"",""376"",""786"",""782"",""784"",""378""]","[""C02:K:780"",""C02:K:370"",""C02:K:372"",""C02:K:374"",""C02:K:376"",""C02:K:786"",""C02:K:782"",""C02:K:784"",""C02:K:378""]","[""n元非齐次"",""定理"",""无解充要条件"",""有唯一解充要条件"",""有无限多解充要条件"",""有解充要条件"",""n元齐次"",""定理"",""有非零解充要条件""]"
C05:B:1262,C05,离散数学,1262,分组 1262,"[""664"",""666"",""668""]","[""C05:K:664"",""C05:K:666"",""C05:K:668""]","[""自反性、反自反性"",""对称性、反对称性"",""传递性""]"
C05:B:1268,C05,离散数学,1268,分组 1268,"[""712"",""714""]","[""C05:K:712"",""C05:K:714""]","[""最小(大)元、极小(大)元"",""上(下)界、上(下)确界""]"
C12:B:4176,C12,数据库,4176,分组 4176,"[""509"",""511"",""513"",""515"",""517"",""519"",""521"",""523"",""525"",""527"",""529"",""531"",""533""]","[""C12:K:509"",""C12:K:511"",""C12:K:513"",""C12:K:515"",""C12:K:517"",""C12:K:519"",""C12:K:521"",""C12:K:523"",""C12:K:525"",""C12:K:527"",""C12:K:529"",""C12:K:531"",""C12:K:533""]","[""C语言数据类型"",""Java数据类型"",""分为"",""基本类型"",""包含"",""数值类型"",""字符型"",""布尔型"",""引用数据类型"",""包含"",""类"",""接口"",""数组""]"
C12:B:3675,C12,数据库,3675,分组 3675,"[""3663"",""3665""]","[""C12:K:3663"",""C12:K:3665""]","[""B+树索引"",""散列（HASH）索引""]"
C12:B:3739,C12,数据库,3739,分组 3739,"[""1885"",""1888"",""1890""]","[""C12:K:1885"",""C12:K:1888"",""C12:K:1890""]","[""冗余分为"",""冗余属性"",""冗余联系""]"
C12:B:3743,C12,数据库,3743,分组 3743,"[""1848"",""1850""]","[""C12:K:1848"",""C12:K:1850""]","[""自顶向下"",""自底向上""]"
C25:B:106,C25,数字图像处理,106,分组 106,"[""107"",""109"",""111"",""113"",""115"",""117""]","[""C25:K:107"",""C25:K:109"",""C25:K:111"",""C25:K:113"",""C25:K:115"",""C25:K:117""]","[""图"",""概念"",""物体反射或者投射电磁波的分布"",""像"",""概念"",""人视觉系统对接收的图信息在大脑中形成的印象""]"
C26:B:404,C26,计算机图形学,404,分组 404,"[""416"",""418"",""420"",""422""]","[""C26:K:416"",""C26:K:418"",""C26:K:420"",""C26:K:422""]","[""漫反射光"",""镜面反射光"",""折射光"",""吸收光""]"
