id,course_id,course_name,entity_type,label,source_id,parent_id,path,image_ids,extra_json
C01:K:101,C01,高等数学,course_root,高等数学,101,,高等数学,[],
C01:K:102,C01,高等数学,knowledge,函数,102,C01:K:166,高等数学 > 1.函数与极限 > 函数,[],
C01:K:104,C01,高等数学,chapter,2.导数与微分,104,C01:K:101,高等数学 > 2.导数与微分,[],
C01:K:106,C01,高等数学,chapter,3.微分中值定理与导数的应用,106,C01:K:101,高等数学 > 3.微分中值定理与导数的应用,[],
C01:K:140,C01,高等数学,knowledge,映射,140,C01:K:166,高等数学 > 1.函数与极限 > 映射,[],
C01:K:111,C01,高等数学,knowledge,特例,111,C01:K:140,高等数学 > 1.函数与极限 > 映射 > 特例,[],
C01:K:113,C01,高等数学,knowledge,满射,113,C01:K:111,高等数学 > 1.函数与极限 > 映射 > 特例 > 满射,[],
C01:K:115,C01,高等数学,knowledge,单射,115,C01:K:111,高等数学 > 1.函数与极限 > 映射 > 特例 > 单射,[],
C01:K:117,C01,高等数学,knowledge,一一映射（双射）,117,C01:K:111,高等数学 > 1.函数与极限 > 映射 > 特例 > 一一映射（双射）,[],
C01:K:119,C01,高等数学,knowledge,逆映射,119,C01:K:142,高等数学 > 1.函数与极限 > 映射 > 逆定义 > 逆映射,[],
C01:K:142,C01,高等数学,knowledge,逆定义,142,C01:K:140,高等数学 > 1.函数与极限 > 映射 > 逆定义,[],
C01:K:144,C01,高等数学,knowledge,逆定义,144,C01:K:102,高等数学 > 1.函数与极限 > 函数 > 逆定义,[],
C01:K:147,C01,高等数学,knowledge,嵌套定义,147,C01:K:102,高等数学 > 1.函数与极限 > 函数 > 嵌套定义,[],
C01:K:151,C01,高等数学,knowledge,反函数,151,C01:K:144,高等数学 > 1.函数与极限 > 函数 > 逆定义 > 反函数,[],
C01:K:153,C01,高等数学,knowledge,复合函数,153,C01:K:147,高等数学 > 1.函数与极限 > 函数 > 嵌套定义 > 复合函数,[],
C01:K:159,C01,高等数学,knowledge,嵌套定义,159,C01:K:140,高等数学 > 1.函数与极限 > 映射 > 嵌套定义,[],
C01:K:164,C01,高等数学,knowledge,复合映射,164,C01:K:159,高等数学 > 1.函数与极限 > 映射 > 嵌套定义 > 复合映射,[],
C01:K:166,C01,高等数学,chapter,1.函数与极限,166,C01:K:101,高等数学 > 1.函数与极限,[],
C01:K:169,C01,高等数学,knowledge,数列极限,169,C01:K:166,高等数学 > 1.函数与极限 > 数列极限,[],
C01:K:171,C01,高等数学,knowledge,性质,171,C01:K:169,高等数学 > 1.函数与极限 > 数列极限 > 性质,[],
C01:K:173,C01,高等数学,knowledge,唯一性,173,C01:K:171,高等数学 > 1.函数与极限 > 数列极限 > 性质 > 唯一性,[],
C01:K:177,C01,高等数学,knowledge,有界性,177,C01:K:171,高等数学 > 1.函数与极限 > 数列极限 > 性质 > 有界性,[],
C01:K:179,C01,高等数学,knowledge,保号性,179,C01:K:171,高等数学 > 1.函数与极限 > 数列极限 > 性质 > 保号性,[],
C01:K:181,C01,高等数学,knowledge,函数极限,181,C01:K:166,高等数学 > 1.函数与极限 > 函数极限,[],
C01:K:183,C01,高等数学,knowledge,包含,183,C01:K:181,高等数学 > 1.函数与极限 > 函数极限 > 包含,[],
C01:K:185,C01,高等数学,knowledge,在点x0处的极限,185,C01:K:183,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限,[],
C01:K:187,C01,高等数学,knowledge,无穷远处的极限,187,C01:K:183,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 无穷远处的极限,[],
C01:K:189,C01,高等数学,knowledge,特例,189,C01:K:185,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限 > 特例,[],
C01:K:191,C01,高等数学,knowledge,右极限,191,C01:K:189,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限 > 特例 > 右极限,[],
C01:K:195,C01,高等数学,knowledge,左极限,195,C01:K:189,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限 > 特例 > 左极限,[],
C01:K:197,C01,高等数学,knowledge,性质,197,C01:K:181,高等数学 > 1.函数与极限 > 函数极限 > 性质,[],
C01:K:199,C01,高等数学,knowledge,唯一性,199,C01:K:197,高等数学 > 1.函数与极限 > 函数极限 > 性质 > 唯一性,[],
C01:K:201,C01,高等数学,knowledge,局部有界性,201,C01:K:197,高等数学 > 1.函数与极限 > 函数极限 > 性质 > 局部有界性,[],
C01:K:203,C01,高等数学,knowledge,局部保号性,203,C01:K:197,高等数学 > 1.函数与极限 > 函数极限 > 性质 > 局部保号性,[],
C01:K:205,C01,高等数学,knowledge,特例,205,C01:K:181,高等数学 > 1.函数与极限 > 函数极限 > 特例,[],
C01:K:207,C01,高等数学,knowledge,无穷大,207,C01:K:205,高等数学 > 1.函数与极限 > 函数极限 > 特例 > 无穷大,[],
C01:K:209,C01,高等数学,knowledge,无穷小,209,C01:K:205,高等数学 > 1.函数与极限 > 函数极限 > 特例 > 无穷小,[],
C01:K:233,C01,高等数学,knowledge,定理,233,C01:K:169,高等数学 > 1.函数与极限 > 数列极限 > 定理,[],
C01:K:211,C01,高等数学,knowledge,数列夹逼准则,211,C01:K:233,高等数学 > 1.函数与极限 > 数列极限 > 定理 > 数列夹逼准则,[],
C01:K:239,C01,高等数学,knowledge,定理,239,C01:K:181,高等数学 > 1.函数与极限 > 函数极限 > 定理,[],
C01:K:217,C01,高等数学,knowledge,夹逼准则,217,C01:K:239,高等数学 > 1.函数与极限 > 函数极限 > 定理 > 夹逼准则,[],
C01:K:219,C01,高等数学,knowledge,包含,219,C01:K:209,高等数学 > 1.函数与极限 > 函数极限 > 特例 > 无穷小 > 包含,[],
C01:K:221,C01,高等数学,knowledge,高阶无穷小、低阶无穷小,221,C01:K:219,高等数学 > 1.函数与极限 > 函数极限 > 特例 > 无穷小 > 包含 > 高阶无穷小、低阶无穷小,[],
C01:K:225,C01,高等数学,knowledge,同阶无穷小、k阶无穷小,225,C01:K:219,高等数学 > 1.函数与极限 > 函数极限 > 特例 > 无穷小 > 包含 > 同阶无穷小、k阶无穷小,[],
C01:K:229,C01,高等数学,knowledge,等价无穷小,229,C01:K:219,高等数学 > 1.函数与极限 > 函数极限 > 特例 > 无穷小 > 包含 > 等价无穷小,[],
C01:K:235,C01,高等数学,knowledge,数列单调有界准则,235,C01:K:233,高等数学 > 1.函数与极限 > 数列极限 > 定理 > 数列单调有界准则,[],
C01:K:237,C01,高等数学,knowledge,柯西极限存在准则,237,C01:K:233,高等数学 > 1.函数与极限 > 数列极限 > 定理 > 柯西极限存在准则,[],
C01:K:241,C01,高等数学,knowledge,单调有界准则,241,C01:K:239,高等数学 > 1.函数与极限 > 函数极限 > 定理 > 单调有界准则,[],
C01:K:243,C01,高等数学,knowledge,函数连续性,243,C01:K:166,高等数学 > 1.函数与极限 > 函数连续性,[],
C01:K:245,C01,高等数学,knowledge,函数间断点,245,C01:K:166,高等数学 > 1.函数与极限 > 函数间断点,[],
C01:K:247,C01,高等数学,knowledge,包含,247,C01:K:245,高等数学 > 1.函数与极限 > 函数间断点 > 包含,[],
C01:K:249,C01,高等数学,knowledge,第一类间断点,249,C01:K:247,高等数学 > 1.函数与极限 > 函数间断点 > 包含 > 第一类间断点,[],
