edge_id,head,head_name,relation_type,tail,tail_name,reason,source,confidence,source_section,book_page,evidence_text
XCR_E_0001,DS_CRS_001,数据结构,PREREQUISITE_OF,OS_CRS_001,操作系统,操作系统中的调度队列、目录树、资源分配图、缓冲区等内容大量使用线性表、队列、树、图等数据结构基础。,跨课程关系整理；参考：王道2027数据结构，内容简介，PDF页2; 王道2027操作系统，内容简介，教材p2,0.86,跨课程：数据结构→操作系统,2;2,“数据结构”（数据结构）与“操作系统”（操作系统）存在跨课程关系“PREREQUISITE_OF”。依据：操作系统中的调度队列、目录树、资源分配图、缓冲区等内容大量使用线性表、队列、树、图等数据结构基础。
XCR_E_0002,DS_CRS_001,数据结构,PREREQUISITE_OF,CP_CRS_001,编译原理,编译原理中的分析栈、语法树、抽象语法树、符号表、控制流图等内容依赖数据结构基础。,跨课程关系整理；参考：王道2027数据结构，内容简介，PDF页2; 《编译原理（第3版）》王生原等，清华大学出版社，封面/目录，教材p1,0.88,跨课程：数据结构→编译原理,2;1,“数据结构”（数据结构）与“编译原理”（编译原理）存在跨课程关系“PREREQUISITE_OF”。依据：编译原理中的分析栈、语法树、抽象语法树、符号表、控制流图等内容依赖数据结构基础。
XCR_E_0003,DS_CRS_001,数据结构,PREREQUISITE_OF,CN_CRS_001,计算机网络,计算机网络中的路由算法、层次域名空间、转发表、协议状态维护等内容需要图、树、表等数据结构支撑。,跨课程关系整理；参考：王道2027数据结构，内容简介，PDF页2; 王道2027计网，内容简介，PDF页2,0.80,跨课程：数据结构→计算机网络,2;2,“数据结构”（数据结构）与“计算机网络”（计算机网络）存在跨课程关系“PREREQUISITE_OF”。依据：计算机网络中的路由算法、层次域名空间、转发表、协议状态维护等内容需要图、树、表等数据结构支撑。
XCR_E_0004,CO_CRS_001,计算机组成原理,PREREQUISITE_OF,OS_CRS_001,操作系统,操作系统管理CPU、内存、I/O与中断，必须建立在组成原理的硬件结构和工作机制基础上。,跨课程关系整理；参考：王道2027计组，内容简介，PDF页2; 王道2027操作系统，内容简介，教材p2,0.91,跨课程：计算机组成原理→操作系统,2;2,“计算机组成原理”（计算机组成原理）与“操作系统”（操作系统）存在跨课程关系“PREREQUISITE_OF”。依据：操作系统管理CPU、内存、I/O与中断，必须建立在组成原理的硬件结构和工作机制基础上。
XCR_E_0005,CO_CRS_001,计算机组成原理,PREREQUISITE_OF,CP_CRS_001,编译原理,编译器后端需要理解目标机器的指令系统、寻址方式、寄存器和过程调用机器级表示。,跨课程关系整理；参考：王道2027计组，内容简介，PDF页2; 《编译原理（第3版）》王生原等，清华大学出版社，封面/目录，教材p1,0.88,跨课程：计算机组成原理→编译原理,2;1,“计算机组成原理”（计算机组成原理）与“编译原理”（编译原理）存在跨课程关系“PREREQUISITE_OF”。依据：编译器后端需要理解目标机器的指令系统、寻址方式、寄存器和过程调用机器级表示。
XCR_E_0006,CO_CRS_001,计算机组成原理,PREREQUISITE_OF,CN_CRS_001,计算机网络,网络中的网卡、物理信号传输、DMA/中断收发数据等底层机制依赖计算机组成原理。,跨课程关系整理；参考：王道2027计组，内容简介，PDF页2; 王道2027计网，内容简介，PDF页2,0.78,跨课程：计算机组成原理→计算机网络,2;2,“计算机组成原理”（计算机组成原理）与“计算机网络”（计算机网络）存在跨课程关系“PREREQUISITE_OF”。依据：网络中的网卡、物理信号传输、DMA/中断收发数据等底层机制依赖计算机组成原理。
XCR_E_0007,DS_TOP_092,队列,APPLIED_IN,OS_ALG_001,进程调度队列,进程调度队列本质上按照一定策略组织等待被调度的进程，队列是理解其组织方式的基础。,跨课程关系整理；参考：王道2027数据结构，队列，教材p76（PDF页87）; 王道2027操作系统，2.1 进程与线程简介，教材p37,0.94,跨课程：数据结构→操作系统,76;37,“队列”（数据结构）与“进程调度队列”（操作系统）存在跨课程关系“APPLIED_IN”。依据：进程调度队列本质上按照一定策略组织等待被调度的进程，队列是理解其组织方式的基础。
XCR_E_0008,DS_TOP_092,队列,APPLIED_IN,OS_DST_003,就绪队列,就绪队列保存可运行但暂未占用CPU的进程，体现队列在操作系统状态管理中的应用。,跨课程关系整理；参考：王道2027数据结构，队列，教材p76（PDF页87）; 王道2027操作系统，2.1 进程与线程简介，教材p37,0.96,跨课程：数据结构→操作系统,76;37,“队列”（数据结构）与“就绪队列”（操作系统）存在跨课程关系“APPLIED_IN”。依据：就绪队列保存可运行但暂未占用CPU的进程，体现队列在操作系统状态管理中的应用。
XCR_E_0009,DS_TOP_092,队列,APPLIED_IN,OS_DST_004,阻塞队列,阻塞队列保存等待事件的进程，体现队列在进程等待与唤醒管理中的应用。,跨课程关系整理；参考：王道2027数据结构，队列，教材p76（PDF页87）; 王道2027操作系统，2.1 进程与线程简介，教材p37,0.95,跨课程：数据结构→操作系统,76;37,“队列”（数据结构）与“阻塞队列”（操作系统）存在跨课程关系“APPLIED_IN”。依据：阻塞队列保存等待事件的进程，体现队列在进程等待与唤醒管理中的应用。
XCR_E_0010,DS_TOP_098,循环队列,APPLIED_IN,OS_MEC_080,循环缓冲,循环缓冲需要首尾相接地复用缓冲空间，与循环队列思想高度一致。,跨课程关系整理；参考：王道2027数据结构，队列，教材p76（PDF页87）; 王道2027操作系统，5.2 设备独立性软件，教材p320,0.94,跨课程：数据结构→操作系统,76;320,“循环队列”（数据结构）与“循环缓冲”（操作系统）存在跨课程关系“APPLIED_IN”。依据：循环缓冲需要首尾相接地复用缓冲空间，与循环队列思想高度一致。
