edge_id,head,head_name,relation_type,tail,tail_name,reason,source,confidence,source_section,book_page,evidence_text
OS_E_0001,OS_CRS_001,操作系统,CONTAINS,OS_TOP_001,第1章 计算机系统概述,课程由各章节构成。,王道2027操作系统，第1章 计算机系统概述，教材p1,1.0,第1章 计算机系统概述,1,“操作系统”与“第1章 计算机系统概述”存在关系“CONTAINS”。依据：课程由各章节构成。
OS_E_0002,OS_TOP_001,第1章 计算机系统概述,BELONGS_TO_COURSE,OS_CRS_001,操作系统,章节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“第1章 计算机系统概述”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：章节属于本课程。
OS_E_0003,OS_CRS_001,操作系统,CONTAINS,OS_TOP_002,第2章 进程与线程,课程由各章节构成。,王道2027操作系统，第2章 进程与线程，教材p37,1.0,第2章 进程与线程,37,“操作系统”与“第2章 进程与线程”存在关系“CONTAINS”。依据：课程由各章节构成。
OS_E_0004,OS_TOP_002,第2章 进程与线程,BELONGS_TO_COURSE,OS_CRS_001,操作系统,章节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“第2章 进程与线程”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：章节属于本课程。
OS_E_0005,OS_CRS_001,操作系统,CONTAINS,OS_TOP_003,第3章 内存管理,课程由各章节构成。,王道2027操作系统，第3章 内存管理，教材p176,1.0,第3章 内存管理,176,“操作系统”与“第3章 内存管理”存在关系“CONTAINS”。依据：课程由各章节构成。
OS_E_0006,OS_TOP_003,第3章 内存管理,BELONGS_TO_COURSE,OS_CRS_001,操作系统,章节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“第3章 内存管理”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：章节属于本课程。
OS_E_0007,OS_CRS_001,操作系统,CONTAINS,OS_TOP_004,第4章 文件管理,课程由各章节构成。,王道2027操作系统，第4章 文件管理，教材p251,1.0,第4章 文件管理,251,“操作系统”与“第4章 文件管理”存在关系“CONTAINS”。依据：课程由各章节构成。
OS_E_0008,OS_TOP_004,第4章 文件管理,BELONGS_TO_COURSE,OS_CRS_001,操作系统,章节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“第4章 文件管理”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：章节属于本课程。
OS_E_0009,OS_CRS_001,操作系统,CONTAINS,OS_TOP_005,第5章 输入/输出管理,课程由各章节构成。,王道2027操作系统，第5章 输入/输出管理，教材p305,1.0,第5章 输入/输出管理,305,“操作系统”与“第5章 输入/输出管理”存在关系“CONTAINS”。依据：课程由各章节构成。
OS_E_0010,OS_TOP_005,第5章 输入/输出管理,BELONGS_TO_COURSE,OS_CRS_001,操作系统,章节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“第5章 输入/输出管理”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：章节属于本课程。
OS_E_0011,OS_TOP_001,第1章 计算机系统概述,CONTAINS,OS_TOP_006,1.1 操作系统的基本概念,章节由若干小节组成。,王道2027操作系统，1.1 操作系统的基本概念，教材p1,1.0,1.1 操作系统的基本概念,1,“第1章 计算机系统概述”与“1.1 操作系统的基本概念”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0012,OS_TOP_006,1.1 操作系统的基本概念,BELONGS_TO_TOPIC,OS_TOP_001,第1章 计算机系统概述,小节属于对应章节。,王道2027操作系统，1.1 操作系统的基本概念，教材p1,1.0,1.1 操作系统的基本概念,1,“1.1 操作系统的基本概念”与“第1章 计算机系统概述”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0013,OS_TOP_006,1.1 操作系统的基本概念,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“1.1 操作系统的基本概念”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0014,OS_TOP_001,第1章 计算机系统概述,CONTAINS,OS_TOP_007,1.2 操作系统发展历程,章节由若干小节组成。,王道2027操作系统，1.2 操作系统发展历程，教材p7,1.0,1.2 操作系统发展历程,7,“第1章 计算机系统概述”与“1.2 操作系统发展历程”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0015,OS_TOP_007,1.2 操作系统发展历程,BELONGS_TO_TOPIC,OS_TOP_001,第1章 计算机系统概述,小节属于对应章节。,王道2027操作系统，1.2 操作系统发展历程，教材p7,1.0,1.2 操作系统发展历程,7,“1.2 操作系统发展历程”与“第1章 计算机系统概述”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0016,OS_TOP_007,1.2 操作系统发展历程,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“1.2 操作系统发展历程”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0017,OS_TOP_001,第1章 计算机系统概述,CONTAINS,OS_TOP_008,1.3 操作系统的运行环境,章节由若干小节组成。,王道2027操作系统，1.3 操作系统的运行环境，教材p15,1.0,1.3 操作系统的运行环境,15,“第1章 计算机系统概述”与“1.3 操作系统的运行环境”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0018,OS_TOP_008,1.3 操作系统的运行环境,BELONGS_TO_TOPIC,OS_TOP_001,第1章 计算机系统概述,小节属于对应章节。,王道2027操作系统，1.3 操作系统的运行环境，教材p15,1.0,1.3 操作系统的运行环境,15,“1.3 操作系统的运行环境”与“第1章 计算机系统概述”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0019,OS_TOP_008,1.3 操作系统的运行环境,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“1.3 操作系统的运行环境”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0020,OS_TOP_001,第1章 计算机系统概述,CONTAINS,OS_TOP_009,1.4 操作系统结构,章节由若干小节组成。,王道2027操作系统，1.4 操作系统结构，教材p26,1.0,1.4 操作系统结构,26,“第1章 计算机系统概述”与“1.4 操作系统结构”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0021,OS_TOP_009,1.4 操作系统结构,BELONGS_TO_TOPIC,OS_TOP_001,第1章 计算机系统概述,小节属于对应章节。,王道2027操作系统，1.4 操作系统结构，教材p26,1.0,1.4 操作系统结构,26,“1.4 操作系统结构”与“第1章 计算机系统概述”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0022,OS_TOP_009,1.4 操作系统结构,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“1.4 操作系统结构”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0023,OS_TOP_001,第1章 计算机系统概述,CONTAINS,OS_TOP_010,1.5 操作系统引导,章节由若干小节组成。,王道2027操作系统，1.5 操作系统引导，教材p29,1.0,1.5 操作系统引导,29,“第1章 计算机系统概述”与“1.5 操作系统引导”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0024,OS_TOP_010,1.5 操作系统引导,BELONGS_TO_TOPIC,OS_TOP_001,第1章 计算机系统概述,小节属于对应章节。,王道2027操作系统，1.5 操作系统引导，教材p29,1.0,1.5 操作系统引导,29,“1.5 操作系统引导”与“第1章 计算机系统概述”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0025,OS_TOP_010,1.5 操作系统引导,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“1.5 操作系统引导”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0026,OS_TOP_001,第1章 计算机系统概述,CONTAINS,OS_TOP_011,1.6 虚拟机,章节由若干小节组成。,王道2027操作系统，1.6 虚拟机，教材p30,1.0,1.6 虚拟机,30,“第1章 计算机系统概述”与“1.6 虚拟机”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0027,OS_TOP_011,1.6 虚拟机,BELONGS_TO_TOPIC,OS_TOP_001,第1章 计算机系统概述,小节属于对应章节。,王道2027操作系统，1.6 虚拟机，教材p30,1.0,1.6 虚拟机,30,“1.6 虚拟机”与“第1章 计算机系统概述”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0028,OS_TOP_011,1.6 虚拟机,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“1.6 虚拟机”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0029,OS_TOP_002,第2章 进程与线程,CONTAINS,OS_TOP_012,2.1 进程与线程简介,章节由若干小节组成。,王道2027操作系统，2.1 进程与线程简介，教材p37,1.0,2.1 进程与线程简介,37,“第2章 进程与线程”与“2.1 进程与线程简介”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0030,OS_TOP_012,2.1 进程与线程简介,BELONGS_TO_TOPIC,OS_TOP_002,第2章 进程与线程,小节属于对应章节。,王道2027操作系统，2.1 进程与线程简介，教材p37,1.0,2.1 进程与线程简介,37,“2.1 进程与线程简介”与“第2章 进程与线程”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0031,OS_TOP_012,2.1 进程与线程简介,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“2.1 进程与线程简介”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0032,OS_TOP_002,第2章 进程与线程,CONTAINS,OS_TOP_013,2.2 CPU调度,章节由若干小节组成。,王道2027操作系统，2.2 CPU调度，教材p66,1.0,2.2 CPU调度,66,“第2章 进程与线程”与“2.2 CPU调度”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0033,OS_TOP_013,2.2 CPU调度,BELONGS_TO_TOPIC,OS_TOP_002,第2章 进程与线程,小节属于对应章节。,王道2027操作系统，2.2 CPU调度，教材p66,1.0,2.2 CPU调度,66,“2.2 CPU调度”与“第2章 进程与线程”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0034,OS_TOP_013,2.2 CPU调度,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“2.2 CPU调度”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0035,OS_TOP_002,第2章 进程与线程,CONTAINS,OS_TOP_014,2.3 同步与互斥,章节由若干小节组成。,王道2027操作系统，2.3 同步与互斥，教材p99,1.0,2.3 同步与互斥,99,“第2章 进程与线程”与“2.3 同步与互斥”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0036,OS_TOP_014,2.3 同步与互斥,BELONGS_TO_TOPIC,OS_TOP_002,第2章 进程与线程,小节属于对应章节。,王道2027操作系统，2.3 同步与互斥，教材p99,1.0,2.3 同步与互斥,99,“2.3 同步与互斥”与“第2章 进程与线程”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0037,OS_TOP_014,2.3 同步与互斥,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“2.3 同步与互斥”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
OS_E_0038,OS_TOP_002,第2章 进程与线程,CONTAINS,OS_TOP_015,2.4 死锁,章节由若干小节组成。,王道2027操作系统，2.4 死锁，教材p149,1.0,2.4 死锁,149,“第2章 进程与线程”与“2.4 死锁”存在关系“CONTAINS”。依据：章节由若干小节组成。
OS_E_0039,OS_TOP_015,2.4 死锁,BELONGS_TO_TOPIC,OS_TOP_002,第2章 进程与线程,小节属于对应章节。,王道2027操作系统，2.4 死锁，教材p149,1.0,2.4 死锁,149,“2.4 死锁”与“第2章 进程与线程”存在关系“BELONGS_TO_TOPIC”。依据：小节属于对应章节。
OS_E_0040,OS_TOP_015,2.4 死锁,BELONGS_TO_COURSE,OS_CRS_001,操作系统,小节属于本课程。,王道2027操作系统，内容简介，教材p2,1.0,内容简介,2,“2.4 死锁”与“操作系统”存在关系“BELONGS_TO_COURSE”。依据：小节属于本课程。
