id,course_id,course_name,source_id,label,source_label,entity_type,emmx_type,parent_id,depth,path,child_count,is_leaf,potential_duplicate_group,compressed_via_source_ids,image_ids
C01:K:101,C01,高等数学,101,高等数学,高等数学,course_root,MainIdea,,0,高等数学,12,False,,[],[]
C01:K:102,C01,高等数学,102,函数,,knowledge,SubTopic,C01:K:166,2,高等数学 > 1.函数与极限 > 函数,6,False,,[],[]
C01:K:104,C01,高等数学,104,2.导数与微分,,chapter,MainTopic,C01:K:101,1,高等数学 > 2.导数与微分,2,False,,[],[]
C01:K:106,C01,高等数学,106,3.微分中值定理与导数的应用,,chapter,MainTopic,C01:K:101,1,高等数学 > 3.微分中值定理与导数的应用,4,False,,[],[]
C01:K:140,C01,高等数学,140,映射,,knowledge,SubTopic,C01:K:166,2,高等数学 > 1.函数与极限 > 映射,3,False,,[],[]
C01:K:111,C01,高等数学,111,特例,,knowledge,SubTopic,C01:K:140,3,高等数学 > 1.函数与极限 > 映射 > 特例,3,False,,[],[]
C01:K:113,C01,高等数学,113,满射,,knowledge,SubTopic,C01:K:111,4,高等数学 > 1.函数与极限 > 映射 > 特例 > 满射,0,True,,[],[]
C01:K:115,C01,高等数学,115,单射,,knowledge,SubTopic,C01:K:111,4,高等数学 > 1.函数与极限 > 映射 > 特例 > 单射,0,True,,[],[]
C01:K:117,C01,高等数学,117,一一映射（双射）,,knowledge,SubTopic,C01:K:111,4,高等数学 > 1.函数与极限 > 映射 > 特例 > 一一映射（双射）,0,True,,[],[]
C01:K:119,C01,高等数学,119,逆映射,,knowledge,SubTopic,C01:K:142,4,高等数学 > 1.函数与极限 > 映射 > 逆定义 > 逆映射,0,True,,[],[]
C01:K:142,C01,高等数学,142,逆定义,,knowledge,SubTopic,C01:K:140,3,高等数学 > 1.函数与极限 > 映射 > 逆定义,1,False,,[],[]
C01:K:144,C01,高等数学,144,逆定义,,knowledge,SubTopic,C01:K:102,3,高等数学 > 1.函数与极限 > 函数 > 逆定义,1,False,,[],[]
C01:K:147,C01,高等数学,147,嵌套定义,,knowledge,SubTopic,C01:K:102,3,高等数学 > 1.函数与极限 > 函数 > 嵌套定义,1,False,,[],[]
C01:K:151,C01,高等数学,151,反函数,,knowledge,SubTopic,C01:K:144,4,高等数学 > 1.函数与极限 > 函数 > 逆定义 > 反函数,0,True,,[],[]
C01:K:153,C01,高等数学,153,复合函数,,knowledge,SubTopic,C01:K:147,4,高等数学 > 1.函数与极限 > 函数 > 嵌套定义 > 复合函数,0,True,,[],[]
C01:K:159,C01,高等数学,159,嵌套定义,,knowledge,SubTopic,C01:K:140,3,高等数学 > 1.函数与极限 > 映射 > 嵌套定义,1,False,,[],[]
C01:K:164,C01,高等数学,164,复合映射,,knowledge,SubTopic,C01:K:159,4,高等数学 > 1.函数与极限 > 映射 > 嵌套定义 > 复合映射,0,True,,[],[]
C01:K:166,C01,高等数学,166,1.函数与极限,,chapter,MainTopic,C01:K:101,1,高等数学 > 1.函数与极限,6,False,,[],[]
C01:K:169,C01,高等数学,169,数列极限,,knowledge,SubTopic,C01:K:166,2,高等数学 > 1.函数与极限 > 数列极限,2,False,,[],[]
C01:K:171,C01,高等数学,171,性质,,knowledge,SubTopic,C01:K:169,3,高等数学 > 1.函数与极限 > 数列极限 > 性质,3,False,,[],[]
C01:K:173,C01,高等数学,173,唯一性,,knowledge,SubTopic,C01:K:171,4,高等数学 > 1.函数与极限 > 数列极限 > 性质 > 唯一性,0,True,,[],[]
C01:K:177,C01,高等数学,177,有界性,,knowledge,SubTopic,C01:K:171,4,高等数学 > 1.函数与极限 > 数列极限 > 性质 > 有界性,0,True,,[],[]
C01:K:179,C01,高等数学,179,保号性,,knowledge,SubTopic,C01:K:171,4,高等数学 > 1.函数与极限 > 数列极限 > 性质 > 保号性,1,False,,[],[]
C01:K:181,C01,高等数学,181,函数极限,,knowledge,SubTopic,C01:K:166,2,高等数学 > 1.函数与极限 > 函数极限,5,False,,[],[]
C01:K:183,C01,高等数学,183,包含,,knowledge,SubTopic,C01:K:181,3,高等数学 > 1.函数与极限 > 函数极限 > 包含,2,False,,[],[]
C01:K:185,C01,高等数学,185,在点x0处的极限,,knowledge,SubTopic,C01:K:183,4,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限,1,False,,[],[]
C01:K:187,C01,高等数学,187,无穷远处的极限,,knowledge,SubTopic,C01:K:183,4,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 无穷远处的极限,0,True,,[],[]
C01:K:189,C01,高等数学,189,特例,,knowledge,SubTopic,C01:K:185,5,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限 > 特例,2,False,,[],[]
C01:K:191,C01,高等数学,191,右极限,,knowledge,SubTopic,C01:K:189,6,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限 > 特例 > 右极限,0,True,,[],[]
C01:K:195,C01,高等数学,195,左极限,,knowledge,SubTopic,C01:K:189,6,高等数学 > 1.函数与极限 > 函数极限 > 包含 > 在点x0处的极限 > 特例 > 左极限,0,True,,[],[]
C01:K:197,C01,高等数学,197,性质,,knowledge,SubTopic,C01:K:181,3,高等数学 > 1.函数与极限 > 函数极限 > 性质,3,False,,[],[]
C01:K:199,C01,高等数学,199,唯一性,,knowledge,SubTopic,C01:K:197,4,高等数学 > 1.函数与极限 > 函数极限 > 性质 > 唯一性,0,True,,[],[]
C01:K:201,C01,高等数学,201,局部有界性,,knowledge,SubTopic,C01:K:197,4,高等数学 > 1.函数与极限 > 函数极限 > 性质 > 局部有界性,0,True,,[],[]
C01:K:203,C01,高等数学,203,局部保号性,,knowledge,SubTopic,C01:K:197,4,高等数学 > 1.函数与极限 > 函数极限 > 性质 > 局部保号性,1,False,,[],[]
C01:K:205,C01,高等数学,205,特例,,knowledge,SubTopic,C01:K:181,3,高等数学 > 1.函数与极限 > 函数极限 > 特例,2,False,,[],[]
