id,course_id,course_name,source_shape_id,source_id,source_entity_type,source_label,target_id,target_entity_type,target_label,relation_text,raw_relation_text,relation_status,direction,source_resolution,target_resolution
C01:R:168,C01,高等数学,168,C01:K:140,knowledge,映射,C01:K:102,knowledge,函数,特殊映射,特殊映射,named,forward,direct,direct
C01:R:275,C01,高等数学,275,C01:K:267,knowledge,左连续,C01:K:271,knowledge,闭区间连续,,标签,unlabeled,forward,direct,direct
C01:R:276,C01,高等数学,276,C01:K:269,knowledge,右连续,C01:K:271,knowledge,闭区间连续,同时满足,同时满足,named,forward,direct,direct
C01:R:296,C01,高等数学,296,C01:K:181,knowledge,函数极限,C01:K:243,knowledge,函数连续性,极限等于函数值,极限等于函数值,named,forward,direct,direct
C01:R:298,C01,高等数学,298,C01:K:181,knowledge,函数极限,C01:K:287,knowledge,导数,微小增量比的极限,微小增量比的极限,named,forward,direct,direct
C01:R:300,C01,高等数学,300,C01:K:243,knowledge,函数连续性,C01:K:287,knowledge,导数,可导必连续，反之不一定,可导必连续，反之不一定,named,forward,direct,direct
C01:R:317,C01,高等数学,317,C01:K:287,knowledge,导数,C01:K:315,knowledge,微分,增量计算,增量计算,named,forward,direct,direct
C01:R:469,C01,高等数学,469,C01:K:446,knowledge,原函数,C01:K:452,knowledge,不定积分,求导得,求导得,named,forward,direct,direct
C01:R:484,C01,高等数学,484,C01:K:482,knowledge,变上限积分,C01:K:446,knowledge,原函数,被积函数连续则积分为原函数,被积函数连续则积分为原函数,named,forward,direct,direct
C01:R:621,C01,高等数学,621,C01:K:587,knowledge,齐次方程,C01:K:585,knowledge,可分离变量的微分方程,令u=y/x,令u=y/x,named,forward,direct,direct
C01:R:842,C01,高等数学,842,C01:K:838,knowledge,二阶偏导数,C01:K:816,knowledge,二元函数连续性,混合偏导数相等,混合偏导数相等,named,forward,direct,direct
C01:R:853,C01,高等数学,853,C01:K:847,knowledge,必要条件,C01:K:830,knowledge,偏导数,可微存在,可微存在,named,forward,direct,direct
C01:R:855,C01,高等数学,855,C01:K:830,knowledge,偏导数,C01:K:849,knowledge,充分条件,存在连续,存在连续,named,forward,direct,direct
C01:R:1146,C01,高等数学,1146,C01:K:1112,knowledge,对坐标的曲线积分(第二类曲线积分),C01:K:1110,knowledge,对弧长的曲线积分(第一类曲线积分),函数坐标轴投影的积分,函数坐标轴投影的积分,named,forward,direct,direct
C01:R:1202,C01,高等数学,1202,C01:K:1180,knowledge,对坐标的曲面积分(第二类曲面积分),C01:K:1179,knowledge,对面积的曲面积分(第一类曲面积分),函数坐标面投影的积分,函数坐标面投影的积分,named,forward,direct,direct
C01:R:1320,C01,高等数学,1320,C01:K:1297,knowledge,收敛区间,C01:K:1316,knowledge,收敛域,加上端点,加上端点,named,forward,direct,direct
C01:R:1321,C01,高等数学,1321,C01:K:1295,knowledge,收敛半径,C01:K:1297,knowledge,收敛区间,加上幂底数,加上幂底数,named,forward,direct,direct
C01:R:1413,C01,高等数学,1413,C01:K:119,knowledge,逆映射,C01:K:151,knowledge,反函数,特例,特例,named,forward,direct,direct
C01:R:1416,C01,高等数学,1416,C01:K:164,knowledge,复合映射,C01:K:153,knowledge,复合函数,特例,特例,named,forward,direct,direct
C01:R:1448,C01,高等数学,1448,C01:K:1439,knowledge,基本初等函数,C01:K:1445,knowledge,初等函数,有限次运算和复合,有限次运算和复合,named,forward,direct,direct
C01:R:1569,C01,高等数学,1569,C01:K:1567,knowledge,求函数极值,C01:K:362,knowledge,费马定理,极值必要条件,极值必要条件,named,forward,direct,direct
C01:R:1579,C01,高等数学,1579,C01:B:1578,boundary_group,,C01:K:400,knowledge,判断函数单调性,研究函数单调性,研究函数单调性,named,forward,group,direct
C01:R:1652,C01,高等数学,1652,C01:K:487,knowledge,同不定积分(注意上下限变换),C01:K:454,knowledge,方法,,标签,unlabeled,forward,direct,direct
C01:R:1689,C01,高等数学,1689,C01:K:601,knowledge,(n)阶导型,C01:K:589,knowledge,一阶线性微分方程,逐次降阶,逐次降阶,named,forward,direct,direct
C01:R:1690,C01,高等数学,1690,C01:K:603,knowledge,不显含y型,C01:K:589,knowledge,一阶线性微分方程,,标签,unlabeled,forward,direct,direct
C01:R:1691,C01,高等数学,1691,C01:K:605,knowledge,不显含x型,C01:K:589,knowledge,一阶线性微分方程,令y'=p,令y'=p,named,forward,direct,direct
C01:R:1710,C01,高等数学,1710,C01:K:1708,knowledge,求通解-齐次通解+特解,C01:K:615,knowledge,通解公式,,标签,unlabeled,forward,direct,direct
C01:R:1711,C01,高等数学,1711,C01:K:1698,knowledge,非齐次的通解,C01:K:1708,knowledge,求通解-齐次通解+特解,,标签,unlabeled,forward,direct,direct
C01:R:1718,C01,高等数学,1718,C01:K:624,knowledge,向量,C01:CALL:1717,callout,线性空间的元素,线代,线代,named,forward,direct,direct
C01:R:1754,C01,高等数学,1754,C01:K:1752,knowledge,两点间距离,C01:K:1748,knowledge,向量坐标运算,运算公式,运算公式,named,forward,direct,direct
C01:R:1761,C01,高等数学,1761,C01:K:632,knowledge,投影,C01:K:1736,knowledge,基本运算,运算相同,运算相同,named,forward,direct,direct
C01:R:1799,C01,高等数学,1799,C01:K:784,knowledge,内点,C01:K:798,knowledge,开集,都是内点,都是内点,named,forward,direct,direct
C01:R:1800,C01,高等数学,1800,C01:K:794,knowledge,边界,C01:K:800,knowledge,闭集,包含边界,包含边界,named,forward,direct,direct
C01:R:1805,C01,高等数学,1805,C01:K:812,knowledge,二元函数,C01:CALL:1803,callout,R2到R的映射,与一元比较,与一元比较,named,forward,direct,direct
C01:R:1806,C01,高等数学,1806,C01:K:814,knowledge,二重极限,C01:CALL:1804,callout,点的邻域变为聚点的邻域,,标签,unlabeled,forward,direct,direct
